scenario,chemistry,year,value
NCX,NMC811,2028,0.215550239
NCX,NMC900,2028,0.105
NCX,NMC900-Si,2028,0.105
NCX,LFP,2028,0.195263158
NCX,SIB,2028,0
NCX,ASSB (polymer),2028,0
NCX,ASSB (oxidic),2028,0
NCX,ASSB (sulfidic),2028,0
NCX,LSB,2028,0
NCX,LAB,2028,0
NCX,NCA,2029,0.133700159
NCX,NMC532,2029,0.100845295
NCX,NMC622,2029,0.120239234
NCX,NMC811,2029,0.222057416
NCX,NMC900,2029,0.12
NCX,NMC900-Si,2029,0.12
NCX,LFP,2029,0.183157895
NCX,SIB,2029,0
NCX,ASSB (polymer),2029,0
NCX,ASSB (oxidic),2029,0
NCX,ASSB (sulfidic),2029,0
NCX,LSB,2029,0
NCX,LAB,2029,0
NCX,NCA,2030,0.124162679
NCX,NMC532,2030,0.092200957
NCX,NMC622,2030,0.114019139
NCX,NMC811,2030,0.228564593
NCX,NMC900,2030,0.135
NCX,NMC900-Si,2030,0.135
NCX,LFP,2030,0.171052632
NCX,SIB,2030,0
NCX,ASSB (polymer),2030,0
NCX,ASSB (oxidic),2030,0
NCX,ASSB (sulfidic),2030,0
NCX,LSB,2030,0
NCX,LAB,2030,0
NCX,NCA,2031,0.114625199
NCX,NMC532,2031,0.083556619
NCX,NMC622,2031,0.107799043
NCX,NMC811,2031,0.23507177
NCX,NMC900,2031,0.15
NCX,NMC900-Si,2031,0.15
NCX,LFP,2031,0.158947368
NCX,SIB,2031,0
NCX,ASSB (polymer),2031,0
NCX,ASSB (oxidic),2031,0
NCX,ASSB (sulfidic),2031,0
NCX,LSB,2031,0
NCX,LAB,2031,0
NCX,NCA,2032,0.105087719
NCX,NMC532,2032,0.074912281
NCX,NMC622,2032,0.101578947
NCX,NMC811,2032,0.241578947
NCX,NMC900,2032,0.165
NCX,NMC900-Si,2032,0.165
NCX,LFP,2032,0.146842105
NCX,SIB,2032,0
NCX,ASSB (polymer),2032,0
NCX,ASSB (oxidic),2032,0
NCX,ASSB (sulfidic),2032,0
NCX,LSB,2032,0
NCX,LAB,2032,0
NCX,NCA,2033,0.095550239
NCX,NMC532,2033,0.066267943
NCX,NMC622,2033,0.095358852
NCX,NMC811,2033,0.248086124
NCX,NMC900,2033,0.18
NCX,NMC900-Si,2033,0.18
NCX,LFP,2033,0.134736842
NCX,SIB,2033,0
NCX,ASSB (polymer),2033,0
NCX,ASSB (oxidic),2033,0
NCX,ASSB (sulfidic),2033,0
NCX,LSB,2033,0
NCX,LAB,2033,0
NCX,NCA,2034,0.086012759
NCX,NMC532,2034,0.057623604
NCX,NMC622,2034,0.089138756
NCX,NMC811,2034,0.254593301
NCX,NMC900,2034,0.195
NCX,NMC900-Si,2034,0.195
NCX,LFP,2034,0.122631579
NCX,SIB,2034,0
NCX,ASSB (polymer),2034,0
NCX,ASSB (oxidic),2034,0
NCX,ASSB (sulfidic),2034,0
NCX,LSB,2034,0
NCX,LAB,2034,0
