market for waste paperboard;waste paperboard;kilogram;CY;10442
cable yarder production, truck-mounted;mobile cable yarder, truck-mounted, incl. processor;unit;GLO;10443
alkylketene dimer sizing agent production, for paper production;alkylketene dimer sizing agent, for paper production;kilogram;RoW;10444
market for benzyl alcohol;benzyl alcohol;kilogram;GLO;10445
market for selective coat, copper sheet, black majic;selective coat, copper sheet, black majic;square meter;GLO;10446
concrete production, 40MPa, ready-mix, with cement limestone 6-10%;concrete, 40MPa;cubic meter;RoW;10447
market for waste polyethylene;waste polyethylene;kilogram;LT;10448
market group for heat, central or small-scale, biomethane;heat, central or small-scale, biomethane;megajoule;GLO;10449
frozen fish sticks production, hake;protein feed, 100% crude;kilogram;RoW;10450
transport, freight, sea, tanker for liquefied natural gas;transport, freight, sea, tanker for liquefied natural gas;ton kilometer;GLO;10451
electricity production, oil;electricity, high voltage;kilowatt hour;GR;10452
tap water production, conventional treatment;tap water;kilogram;RoW;10453
impact extrusion of aluminium, deformation stroke;impact extrusion of aluminium, deformation stroke;kilogram;RER;10454
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;RoW;10455
treatment of used window frame, wood, collection for final disposal;used window frame, wood;square meter;CH;10456
land already in use, perennial cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-RN;10457
land use change, annual crop;land use change, annual crop;hectare;IL;10458
market for polyaluminium chloride;polyaluminium chloride;kilogram;GLO;10459
market for tractor, 4-wheel, agricultural;tractor, 4-wheel, agricultural;kilogram;GLO;10460
market for light clay brick;light clay brick;kilogram;GLO;10461
beet seed production, Swiss integrated production, for sowing;beet seed, Swiss integrated production, for sowing;kilogram;CH;10462
market for wind turbine, 2MW, onshore;wind turbine, 2MW, onshore;unit;GLO;10463
treatment of scrap aluminium, municipal incineration;scrap aluminium;kilogram;Europe without Switzerland;10464
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;AO;10465
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;TR;10466
market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;CH;10467
natural gas, burned in gas turbine, for compressor station;electricity, medium voltage;kilowatt hour;NL;10468
market for tree seedling;tree seedling, for planting;unit;RER;10469
land already in use, annual cropland to forest, intensive;land tenure, arable land, measured as carbon net primary productivity, forest, intensive;kilogram;BR-PR;10470
tap water production, microstrainer treatment;tap water;kilogram;Europe without Switzerland;10471
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;CA-MB;10472
market for rare earth oxide concentrate, 70% REO;rare earth oxide concentrate, 70% REO;kilogram;GLO;10473
land already in use, annual cropland to annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-AL;10474
expansion vessel production, 80l;expansion vessel, 80l;unit;CH;10475
wood preservation, oscillating pressure method, inorganic salt, containing Cr, outdoor use, ground contact;wood preservation, oscillating pressure method, inorganic salt, containing Cr, outdoor use, ground contact;kilogram;RoW;10476
sodium chloride electrolysis;sodium;kilogram;RER;10477
electricity production, wind, >3MW turbine, onshore;electricity, high voltage;kilowatt hour;AT;10478
transport, freight, small lorry with refrigeration machine, EURO6, CO2 refrigerant, freezing to generic market;transport, freight, lorry with refrigeration machine, freezing;ton kilometer;GLO;10479
market for plaster mixing;plaster mixing;kilogram;GLO;10480
toner module production, laser printer, black/white;toner module, laser printer, black/white;unit;GLO;10481
market for heat and power co-generation unit, 160kW electrical, components for electricity only;heat and power co-generation unit, 160kW electrical, components for electricity only;unit;GLO;10482
market for air compressor, screw-type compressor, 4kW;air compressor, screw-type compressor, 4kW;unit;GLO;10483
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;heat, district or industrial, natural gas;megajoule;BG;10484
treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal;electricity, high voltage;kilowatt hour;GLO;10485
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;CN-HU;10486
market for waste polyethylene;waste polyethylene;kilogram;EE;10487
market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-SE;10488
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;SS;10489
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;BG;10490
market for heat and power co-generation unit, organic Rankine cycle, 3MW electrical;heat and power co-generation unit, organic Rankine cycle, 3MW electrical;unit;GLO;10491
market for waste packaging paper;waste packaging paper;kilogram;SK;10492
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;FR;10493
heat and power co-generation, wood chips, 6667 kW;electricity, high voltage;kilowatt hour;RU;10494
market for lemon;lemon;kilogram;GLO;10495
market for fibre, polyester;fibre, polyester;kilogram;GLO;10496
greenhouse construction, glass walls and roof, plastic tubes;greenhouse, glass walls and roof;square meter-year;FR;10497
market for wood preservation, spray tunnel/deluging, water-based, outdoor use, no ground contact;wood preservation, spray tunnel/deluging, water-based, outdoor use, no ground contact;kilogram;GLO;10498
heat and power co-generation, biogas, gas engine;electricity, high voltage;kilowatt hour;LT;10499
market for sweet sorghum stem;sweet sorghum stem;kilogram;GLO;10500
market for pineapple;pineapple;kilogram;GLO;10501
wood preservation, dipping/immersion, solvent-based preservative, indoor use, dry;wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry;kilogram;RER;10502
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;electricity, high voltage;kilowatt hour;RoW;10503
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;SS;10504
soybean meal and crude oil production;soybean oil, crude;kilogram;RER;10505
waste polyethylene, for recycling, unsorted, Recycled Content cut-off;waste polyethylene, for recycling, unsorted;kilogram;GLO;10506
sodium hydrogen sulfite production;sodium hydrogen sulfite;kilogram;RoW;10507
market for chromium steel removed by turning, primarily roughing, computer numerical controlled;chromium steel removed by turning, primarily roughing, computer numerical controlled;kilogram;GLO;10508
heat and power co-generation unit construction, 6400kW thermal, components for electricity only;heat and power co-generation unit, 6400kW thermal, components for electricity only;unit;CH;10509
market for sawnwood, board, softwood, raw, dried (u=20%);sawnwood, board, softwood, raw, dried (u=20%);cubic meter;RoW;10510
maize grain processing, dry milling;maize chop;kilogram;RoW;10511
strawberry seedling production, in unheated greenhouse, for planting;strawberry seedling, for planting;unit;US;10512
treatment of municipal solid waste, incineration;heat, for reuse in municipal waste incineration only;megajoule;SK;10513
market for sulfidic tailings, from gold mine operation;sulfidic tailings, from gold mine operation;kilogram;US;10514
land use change, pasture, man made;land use change, pasture, man made;hectare;BR-SC;10515
captan production;captan;kilogram;RoW;10516
market for land use change, perennial crop;land use change, perennial crop;hectare;CI;10517
market for calcium carbide, technical grade;calcium carbide, technical grade;kilogram;RER;10518
selective coating, copper sheet, black chrome;selective coat, copper sheet, black chrome;square meter;CA-QC;10519
market for transport, passenger car, medium size, petrol, EURO 5;transport, passenger car, medium size, petrol, EURO 5;kilometer;GLO;10520
citric acid production;citric acid;kilogram;RNA;10521
treatment of used vegetable cooking oil, purification;used vegetable cooking oil, purified;kilogram;CH;10522
market for blower and heat exchange unit, Twl-700;blower and heat exchange unit, Twl-700;unit;GLO;10523
electricity production, hard coal;electricity, high voltage;kilowatt hour;CA-NB;10524
treatment of coal gas, in power plant;heat, district or industrial, other than natural gas;megajoule;PL;10525
treatment of refinery sludge, sanitary landfill;refinery sludge;kilogram;CH;10526
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;ZA;10527
market for potassium permanganate;potassium permanganate;kilogram;GLO;10528
market for dross from Al electrolysis;dross from Al electrolysis;kilogram;GLO;10529
fertilising, by broadcaster;fertilising, by broadcaster;hectare;CA-QC;10530
synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;ethanol, without water, in 99.7% solution state, from ethylene;kilogram;ZA;10531
heat production, untreated waste wood, at furnace 1000-5000 kW, state-of-the-art 2014;waste wood, untreated;kilogram;RoW;10532
nutrient supply from vinasse, from fermentation of sugar beet;organic potassium fertiliser, as K2O;kilogram;GLO;10533
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;KZ;10534
market for shavings, hardwood, measured as dry mass;shavings, hardwood, measured as dry mass;kilogram;CH;10535
used toner module, laser printer, black/white, Recycled Content cut-off;used toner module, laser printer, black/white;kilogram;GLO;10536
coking;coke;megajoule;DE;10537
market for impact extrusion of aluminium, 4 strokes;impact extrusion of aluminium, 4 strokes;kilogram;GLO;10538
market for deep well, drilled, for geothermal power;deep well, drilled, for geothermal power;meter;GLO;10539
metamitron production;metamitron;kilogram;RER;10540
market for phosphate rock, beneficiated;phosphate rock, beneficiated;kilogram;RER;10541
apple production;apple;kilogram;ZA;10542
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;heat, district or industrial, natural gas;megajoule;US-SERC;10543
ammonium nitrite production;ammonium nitrite;kilogram;RoW;10544
charger production, for electric passenger car;charger, electric passenger car;kilogram;GLO;10545
sewer grid construction, 5E9l/year, 110 km;sewer grid, 5E9l/year, 110 km;kilometer;RoW;10546
