Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2075,gdp-per-capita-ppp,57.563
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2080,gdp-per-capita-ppp,60.5394
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2085,gdp-per-capita-ppp,63.5051
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2090,gdp-per-capita-ppp,66.4981
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2095,gdp-per-capita-ppp,69.5093
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2100,gdp-per-capita-ppp,72.486
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,1975,gdp-per-capita-ppp,3.11041
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,1990,gdp-per-capita-ppp,3.51271
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2005,gdp-per-capita-ppp,4.47198
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2010,gdp-per-capita-ppp,5.12365
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2015,gdp-per-capita-ppp,5.69609
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2021,gdp-per-capita-ppp,5.74591
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2025,gdp-per-capita-ppp,6.70346
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2030,gdp-per-capita-ppp,7.69068
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2035,gdp-per-capita-ppp,8.88918
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2040,gdp-per-capita-ppp,10.2635
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2045,gdp-per-capita-ppp,11.8433
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2050,gdp-per-capita-ppp,13.6431
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2055,gdp-per-capita-ppp,15.6824
